metric,value
coord_only_goal_vs_coord_plus_nuisance_goal,1.0
coord_only_goal_vs_crtr_learned_goal,1.0
coord_only_goal_vs_idm_learned_goal,1.0
coord_only_goal_vs_crtr_online_joint_goal,1.0
coord_only_goal_vs_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_vs_crtr_learned_goal,1.0
coord_plus_nuisance_goal_vs_idm_learned_goal,5.071369166875783e-05
coord_plus_nuisance_goal_vs_crtr_online_joint_goal,4.562638989269452e-05
coord_plus_nuisance_goal_vs_idm_online_joint_goal,6.0113026790098445e-05
crtr_learned_goal_vs_idm_learned_goal,1.7769648863463772e-08
crtr_learned_goal_vs_crtr_online_joint_goal,1.5625562177490337e-08
crtr_learned_goal_vs_idm_online_joint_goal,2.1866519928082084e-08
idm_learned_goal_vs_crtr_online_joint_goal,0.9390178276546353
idm_learned_goal_vs_idm_online_joint_goal,1.0
crtr_online_joint_goal_vs_idm_online_joint_goal,1.0
