rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0024267041590064764,0.00010145674605155364,3.634982931544073e-05,6.629823928960832e-06,5.474517051106455,0.8531353135313532,2.4825274280715348e-08,3.6701197636546112e-09,1,4096,6.759075907590759,85.31353135313532
0.0025678621605038643,0.00023154952214099467,9.20179154491052e-05,2.7558306101127528e-05,3.337815356212318,0.9983498349834984,1.1326372728603928e-08,3.193247888333417e-09,5,20480,33.79537953795379,99.83498349834984
0.002697418676689267,0.00036135962000116706,0.00013040428166277707,5.7484881835989654e-05,2.268102437966032,1.0,1.056972620538943e-09,5.703954530922317e-10,10,40960,67.59075907590758,100.0
0.0035095608327537775,0.0004953420138917863,0.0002516524982638657,0.00010428890527691692,2.4128009550600775,1.0,4.23509227687191e-10,1.9196443046265443e-10,15,61440,101.38613861386139,100.0
0.0053865183144807816,0.0006912146345712245,0.0004645736771635711,0.00013298069825395942,3.493279479414567,1.0,2.23723012338084e-10,6.635520605202672e-11,20,81920,135.18151815181517,100.0
0.007426085881888866,0.0010319881839677691,0.0005688791861757636,0.00017537991516292095,3.2435113823239363,1.0,4.22134632804827e-10,1.1162945567910754e-10,25,102400,168.97689768976898,100.0
0.008106988854706287,0.0008111518691293895,0.0005665318458341062,0.00015519473527092487,3.650222687118213,1.0,8.43124514648963e-10,1.7004488095384573e-10,30,122880,202.77227722772278,100.0
0.01056477427482605,0.0013486355310305953,0.0005718684988096356,0.0001523086248198524,3.7544226747450344,1.0,1.7619253833700554e-09,4.1886671908741846e-10,35,143360,236.56765676567656,100.0
0.012582967057824135,0.0018324245465919375,0.0005857455544173717,0.00023006157425697893,2.5459275284617386,1.0,1.1100877994607572e-09,3.404938553330794e-10,40,163840,270.36303630363034,100.0
0.013636995106935501,0.0024776922073215246,0.0005553264054469764,0.00028731991187669337,1.9327135202174595,1.0,8.464630663063133e-10,3.6826672267231686e-10,45,184320,304.15841584158414,100.0
0.01672159880399704,0.003536253236234188,0.000579081941395998,0.00031892952392809093,1.8156481023862052,1.0,6.544432773480935e-10,3.0972963083186755e-10,48,196608,324.43564356435644,100.0
