rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0,0.0,0.0,0.004205768927931786,0.0,1.0,0.0043793548829853535,0.00027589878300204873,1,4096,70.62068965517241,100.0
0.0,0.0,0.0,0.0020033593755215406,0.0,1.0,0.0034095929004251957,0.0001283109450014308,5,20480,353.1034482758621,100.0
0.0,0.0,0.0,0.0015297814970836043,0.0,1.0,0.0003618471964728087,9.780725667951629e-05,10,40960,706.2068965517242,100.0
0.0,0.0,0.0,0.0013829611707478762,0.0,1.0,0.0001380354951834306,0.00011496451770653948,15,61440,1059.3103448275863,100.0
0.0,0.0,0.0,0.0011860132217407227,0.0,1.0,0.00018432439537718892,0.0001298582210438326,20,81920,1412.4137931034484,100.0
0.0,0.0,0.0,0.0009611521381884813,0.0,1.0,0.00033149318187497556,0.0002957417455036193,25,102400,1765.5172413793102,100.0
0.0,0.0,0.0,0.0008830985170789063,0.0,1.0,0.00034786309697665274,0.0002910020702984184,30,122880,2118.6206896551726,100.0
0.0,0.0,0.0,0.0008270135731436312,0.0,1.0,0.0002251440891996026,0.00021248658595141023,35,143360,2471.7241379310344,100.0
0.0,0.0,0.0,0.0007931863656267524,0.0,1.0,0.0005618334980681539,0.0005928651662543416,40,163840,2824.8275862068967,100.0
0.0,0.0,0.0,0.0007199436076916754,0.0,1.0,0.00012349906319286674,7.00154050718993e-05,45,184320,3177.9310344827586,100.0
0.0,0.0,0.0,0.0006897564744576812,0.0,1.0,0.0002463400596752763,0.00016982617671601474,48,196608,3389.793103448276,100.0
