rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0025528278201818466,0.0006905663758516312,3.6353336327010766e-05,3.398198896320537e-05,1.0694677609586611,1.0,0.001653284765779972,0.00014310164260677993,1,4096,70.62068965517241,100.0,0.28125,0.05
0.004005972761660814,0.0015104435151442885,0.0003152796416543424,0.0005802082014270127,0.5433811639809482,1.0,0.0006704820552840829,8.669189992360771e-05,5,20480,353.1034482758621,100.0,0.125,0.2262190625
0.012826057150959969,0.0051582856103777885,0.00041860734927468,0.0008235645946115255,0.5082810373383776,1.0,8.763194637140259e-05,3.440540604060516e-05,10,40960,706.2068965517242,100.0,0.09375,0.401263060761621
0.04260659217834473,0.019393878057599068,0.00022026716032996774,0.0005518620018847287,0.399127260628771,1.0,2.3682721803197637e-05,1.209852325700922e-05,15,61440,1059.3103448275863,100.0,0.09375,0.5367087698402464
0.128312885761261,0.08913949131965637,0.0008389588329009712,0.0019356117118149996,0.43343119566182886,1.0,7.611843557242537e-06,2.2995041035756003e-06,20,81920,1412.4137931034484,100.0,0.25,0.6415140775914577
0.14850234985351562,0.24096883833408356,0.0008412580355070531,0.0019916356541216373,0.42239342815128816,1.0,5.6813383707776666e-05,5.769888957729563e-05,25,102400,1765.5172413793102,100.0,0.21875,0.7226104268781659
0.09201221913099289,0.1827705353498459,0.0008016375359147787,0.0028026753570884466,0.28602480613362724,1.0,0.00012493021495174617,9.057360875885934e-05,30,122880,2118.6206896551726,100.0,0.21875,0.7853612360570624
0.09933310002088547,0.2223299890756607,0.0006231704028323293,0.0023687644861638546,0.2630771339662356,1.0,0.0001161026448244229,8.446436550002545e-05,35,143360,2471.7241379310344,100.0,0.0,0.7839166160123925
0.031024659052491188,0.049461763352155685,0.0008326694369316101,0.0027027493342757225,0.3080812362284363,1.0,0.00027170832618139684,0.00017095440125558525,40,163840,2824.8275862068967,100.0,0.15625,0.8327987965598966
0.046082209795713425,0.15199686586856842,0.000687850289978087,0.0027560554444789886,0.24957690731038476,1.0,0.0005224914639256895,0.00019555595645215362,45,184320,3177.9310344827586,100.0,0.09375,0.8706228960509886
0.02925132028758526,0.035578202456235886,0.0003961667534895241,0.0018873006338253617,0.20991073032134602,1.0,0.0008331229910254478,8.888453157851472e-05,48,196608,3389.793103448276,100.0,0.25,0.8890753055017164
