rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.220912903547287,0.2572462856769562,0.003057449357584119,0.006764705292880535,0.4519701458540176,1.0,0.0013485525269061327,0.001526150037534535,1,4096,40.96,100.0
0.220912903547287,0.2572462856769562,0.001558783813379705,0.004542513284832239,0.3431537310077372,1.0,0.0010494503658264875,0.0012095393612980843,5,20480,204.8,100.0
0.220912903547287,0.2572462856769562,0.0011714936699718237,0.004077573772519827,0.2873009447082126,1.0,0.00016355175466742367,0.00019052790594287217,10,40960,409.6,100.0
0.220912903547287,0.2572462856769562,0.0009672640007920563,0.003276535775512457,0.2952084503201469,1.0,2.921841041825246e-05,3.415618994040415e-05,15,61440,614.4,100.0
0.220912903547287,0.2572462856769562,0.0008470325847156346,0.002882707864046097,0.2938312469909091,1.0,9.434048115508631e-05,0.0002217587607447058,20,81920,819.2,100.0
0.220912903547287,0.2572462856769562,0.0007528780261054635,0.002387405140325427,0.31535279029973784,1.0,1.3308650522958487e-05,2.4112134269671515e-05,25,102400,1024.0,100.0
0.220912903547287,0.2572462856769562,0.000677857140544802,0.0020214268006384373,0.3353343227602822,1.0,8.029188757063821e-05,0.00017570341879036278,30,122880,1228.8,100.0
0.220912903547287,0.2572462856769562,0.0006210742285475135,0.0017481471877545118,0.35527367498644463,1.0,9.263174433726817e-05,0.00015238247578963637,35,143360,1433.6,100.0
0.220912903547287,0.2572462856769562,0.0005756773171015084,0.0016057988395914435,0.3584967917152421,1.0,4.712719237431884e-05,6.892362580401823e-05,40,163840,1638.4,100.0
0.220912903547287,0.2572462856769562,0.0005420789238996804,0.0015134996501728892,0.3581602032321091,1.0,6.767352897441015e-05,0.00012262586096767336,45,184320,1843.2,100.0
0.220912903547287,0.2572462856769562,0.000519276421982795,0.0014404375106096268,0.3604965943972694,1.0,9.368479368276894e-05,0.0001700916327536106,48,196608,1966.08,100.0
