metric,value
coord_only_goal_over_coord_plus_nuisance_goal,1.0
coord_only_goal_over_crtr_learned_goal,1.0
coord_only_goal_over_idm_learned_goal,1.0
coord_only_goal_over_crtr_online_joint_goal,1.0
coord_only_goal_over_idm_online_joint_goal,1.0
coord_plus_nuisance_goal_over_crtr_learned_goal,1.0
coord_plus_nuisance_goal_over_idm_learned_goal,1.0
coord_plus_nuisance_goal_over_crtr_online_joint_goal,1.0
coord_plus_nuisance_goal_over_idm_online_joint_goal,1.0
crtr_learned_goal_over_idm_learned_goal,1.0
crtr_learned_goal_over_crtr_online_joint_goal,1.0
crtr_learned_goal_over_idm_online_joint_goal,1.0
idm_learned_goal_over_crtr_online_joint_goal,1.0
idm_learned_goal_over_idm_online_joint_goal,1.0
crtr_online_joint_goal_over_idm_online_joint_goal,1.0
