metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,1.0
coord_plus_nuisance_vs_crtr_learned,0.0
coord_plus_nuisance_vs_idm_learned,0.0
coord_plus_nuisance_vs_crtr_online_joint,0.0
coord_plus_nuisance_vs_idm_online_joint,0.0
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.0
crtr_learned_vs_idm_online_joint,1.3988810110276972e-14
idm_learned_vs_crtr_online_joint,2.018452072150012e-11
idm_learned_vs_idm_online_joint,0.0
crtr_online_joint_vs_idm_online_joint,0.002645958696063433
