rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0,0.0,0.0,0.0049187662079930305,0.0,0.7755775577557755,0.0017305612564086914,0.00015465778415091336,1,4096,6.759075907590759,77.55775577557755,0.03125,0.05
0.0,0.0,0.0,0.0018190270056948066,0.0,1.0,0.0008258995949290693,0.0001801466423785314,5,20480,33.79537953795379,100.0,0.03125,0.18109406249999999
0.0,0.0,0.0,0.0013028911780565977,0.0,1.0,0.00013567355927079916,3.680578083731234e-05,10,40960,67.59075907590758,100.0,0.03125,0.3212211959569335
0.0,0.0,0.0,0.001066037337295711,0.0,1.0,2.5332772565889172e-05,7.34394643586711e-06,15,61440,101.38613861386139,100.0,0.03125,0.47477390065242703
0.0,0.0,0.0,0.0009149345569312572,0.0,1.0,5.556822998187272e-06,2.0491936538746813e-06,20,81920,135.18151815181517,100.0,0.03125,0.5935900564473668
0.0,0.0,0.0,0.0008171006920747459,0.0,1.0,2.5573478978913045e-06,2.1215942069829907e-06,25,102400,168.97689768976898,100.0,0.0,0.5068086703685213
0.0,0.0,0.0,0.0007521837833337486,0.0,1.0,5.644592420139816e-06,8.371128387807403e-06,30,122880,202.77227722772278,100.0,0.03125,0.5280092005908827
0.0,0.0,0.0,0.0007028215914033353,0.0,1.0,8.384382090298459e-05,0.00012178887118352577,35,143360,236.56765676567656,100.0,0.03125,0.5872825167418387
0.0,0.0,0.0,0.0006471208180300891,0.0,1.0,0.00010217299859505147,0.00010008685785578564,40,163840,270.36303630363034,100.0,0.0,0.6306470788818596
0.0,0.0,0.0,0.0006049356888979673,0.0,1.0,8.102915671770461e-06,2.5102169729507295e-06,45,184320,304.15841584158414,100.0,0.0625,0.5831076879288418
0.0,0.0,0.0,0.0005815357435494661,0.0,1.0,8.659015293233097e-06,2.621585736051202e-06,48,196608,324.43564356435644,100.0,0.03125,0.5974419539379907
