rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.0023509059101343155,6.312014738796279e-05,3.311652471893467e-05,4.659831574826967e-06,7.0915886768703755,1.0,2.3680177818619086e-08,3.0336950729292766e-09,1,4096,70.62068965517241,100.0
0.0023586431052535772,0.00022063814685679972,8.615889237262309e-05,2.359875725232996e-05,3.6494463241651576,1.0,9.320878291418921e-09,2.6315738477222794e-09,5,20480,353.1034482758621,100.0
0.002660458441823721,0.0003805740852840245,0.0001951522281160578,6.821470014983788e-05,2.860433650678662,1.0,6.307636635227709e-09,1.511327507586202e-09,10,40960,706.2068965517242,100.0
0.004149178508669138,0.0005277892341837287,0.00036062111030332744,7.090245344443247e-05,5.085441171287536,1.0,6.9686660886247864e-09,1.6065416774679875e-09,15,61440,1059.3103448275863,100.0
0.006146239582449198,0.0006623540539294481,0.00036683346843346953,7.047534018056467e-05,5.204393814284501,1.0,1.7092423476583463e-08,4.245434670480108e-09,20,81920,1412.4137931034484,100.0
0.007391896098852158,0.0006189513951539993,0.0004985227715224028,0.00013242867134977132,3.764178290537219,1.0,5.071831310488051e-08,1.4031015460602703e-08,25,102400,1765.5172413793102,100.0
0.006841104011982679,0.0006692279712297022,0.00042839880916289985,0.000164400931680575,2.6056589107785877,1.0,5.47487282176462e-08,1.1091565887966226e-08,30,122880,2118.6206896551726,100.0
0.009217234328389168,0.0009117190493270755,0.0010852894047275186,0.0005086064338684082,2.1338071923336828,1.0,1.4558305849732278e-07,2.972579515869711e-08,35,143360,2471.7241379310344,100.0
0.010503976605832577,0.0012797812232747674,0.0006327780429273844,0.0003922420146409422,1.6131925887152263,1.0,2.1581972475814837e-07,5.0855927469228845e-08,40,163840,2824.8275862068967,100.0
0.01161966659128666,0.0016943997470661998,0.0,0.0,0.0,1.0,3.458781350218487e-07,7.979421923209884e-08,45,184320,3177.9310344827586,100.0
0.011148052290081978,0.0015286803245544434,0.0,0.0,0.0,1.0,3.643780246420647e-07,7.3123445076817e-08,48,196608,3389.793103448276,100.0
