rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0011690916726365685,0.0013648865278810263,1.8433487639413215e-05,3.150609336444177e-05,0.5848912625766909,1.0,0.0011911605251953006,0.0013486280804499984,1,4096,40.96,100.0,0.34375,0.0
0.0026496844366192818,0.0031326680909842253,0.00037041405448690057,0.001172906020656228,0.3158061173720347,1.0,0.0007741267909295857,0.0008955075172707438,5,20480,204.8,100.0,0.15625,0.0
0.008669384755194187,0.010463135316967964,0.0002559928980190307,0.0008010718156583607,0.3195589926213037,1.0,0.00015764712588861585,0.00018117736908607185,10,40960,409.6,100.0,0.03125,0.0
0.03134312480688095,0.038686882704496384,0.0004176969232503325,0.0016742886509746313,0.24947575691301285,1.0,8.764526864979416e-05,0.00014944194117560983,15,61440,614.4,100.0,0.21875,0.0
0.10685063153505325,0.1422651708126068,0.00034828990465030074,0.0013727012556046247,0.25372408307156546,1.0,5.283606151351705e-05,8.667707879794762e-05,20,81920,819.2,100.0,0.0625,0.0
0.20476050674915314,0.3724522590637207,0.0006818532710894942,0.0018445653840899467,0.3696532421340418,1.0,1.0125054359377827e-05,1.6364490875275806e-05,25,102400,1024.0,100.0,0.34375,0.0
0.14082512259483337,0.2866629362106323,0.0010805156780406833,0.004040201660245657,0.2674403642444279,1.0,6.048687646398321e-05,0.00011828677088487893,30,122880,1228.8,100.0,0.0625,0.0
0.13136447966098785,0.2943018078804016,0.000403991318307817,0.0018055349355563521,0.2237503538970815,1.0,4.186465230304748e-05,7.193871715571731e-05,35,143360,1433.6,100.0,0.0625,0.0
0.13228726387023926,0.29934945702552795,0.0007963889511302114,0.003235878422856331,0.2461113756287171,1.0,9.757038060342893e-05,0.0001950514124473557,40,163840,1638.4,100.0,0.0625,0.0
0.128562331199646,0.2807789742946625,0.00039720284985378385,0.0015790857141837478,0.2515381723134512,1.0,2.0883178876829334e-05,3.798010220634751e-05,45,184320,1843.2,100.0,0.3125,0.0
0.1188751757144928,0.2589789032936096,0.0004754129331558943,0.0021025591995567083,0.22611048105152837,1.0,3.395416570128873e-05,6.739630771335214e-05,48,196608,1966.08,100.0,0.1875,0.0
