rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.00014275942521635443,0.0006304931011982262,4.908877144771395e-06,4.721833465737291e-05,0.10393923860292331,0.9,0.00012319932284299284,0.0005437955842353404,1,4096,4.551111111111111,90.0
0.00012346329458523542,0.0005447242874652147,8.45839713292662e-06,7.908857514848933e-05,0.10693488621062935,0.9977777777777778,7.790682138875127e-05,0.00034365724422968924,5,20480,22.755555555555556,99.77777777777777
0.00011638972500804812,0.0005140080465935171,1.1485540198918898e-05,8.741215424379334e-05,0.13138020102878362,0.9988888888888889,3.133832069579512e-05,0.00013855897122994065,10,40960,45.51111111111111,99.8888888888889
0.0001190725524793379,0.0005262840422801673,1.702164445305243e-05,0.00015295542834792286,0.11127772227288096,0.9988888888888889,4.760735919262515e-06,2.101447716995608e-05,15,61440,68.26666666666667,99.8888888888889
0.00010436074808239937,0.000460772862425074,0.0,0.0,0.0,0.9988888888888889,1.4151014511298854e-06,6.246162229217589e-06,20,81920,91.02222222222223,99.8888888888889
0.00011555905075510964,0.0005100738490000367,6.125637810328044e-06,8.711866394151002e-05,0.07030565525990644,0.9988888888888889,4.293827942092321e-07,1.8965851040775306e-06,25,102400,113.77777777777777,99.8888888888889
0.00011484489368740469,0.000507156306412071,0.0,0.0,0.0,0.9988888888888889,1.3954681321592943e-07,6.159427812235663e-07,30,122880,136.53333333333333,99.8888888888889
0.0001188558671856299,0.0005251175607554615,0.0,0.0,0.0,1.0,5.436805139424905e-08,2.399328877800144e-07,35,143360,159.2888888888889,100.0
0.00012752918701153249,0.0005634785047732294,0.0,0.0,0.0,1.0,2.776414476102218e-08,1.2261514825695485e-07,40,163840,182.04444444444445,100.0
0.0001434499426977709,0.000633376301266253,0.0,0.0,0.0,1.0,2.1927133886379124e-08,9.717352611460228e-08,45,184320,204.8,100.0
0.0001588848972460255,0.000701677636243403,0.0,0.0,0.0,1.0,1.3526809894415237e-08,5.994950669219179e-08,48,196608,218.45333333333335,100.0
