rep,value
coord_only,0.014720330014824867
coord_only,0.013836042024195194
coord_only,0.01313574519008398
coord_only,0.012650036253035069
coord_only,0.012404141947627068
coord_only,0.012412318959832191
coord_only,0.01267407275736332
coord_only,0.013174296356737614
coord_only,0.013887247070670128
coord_only,0.014782178215682507
coord_only,0.013893038034439087
coord_only,0.012970982119441032
coord_only,0.012240920215845108
coord_only,0.011738726869225502
coord_only,0.01149430125951767
coord_only,0.011524053290486336
coord_only,0.011825906112790108
coord_only,0.012379977852106094
coord_only,0.013154434971511364
coord_only,0.0141130480915308
coord_only,0.013224173337221146
coord_only,0.012271534651517868
coord_only,0.011518084444105625
coord_only,0.011004808358848095
coord_only,0.010766103863716125
coord_only,0.010820151306688786
coord_only,0.011162695474922657
coord_only,0.011768573895096779
coord_only,0.012599857524037361
coord_only,0.013615326955914497
coord_only,0.012738713063299656
coord_only,0.011767266318202019
coord_only,0.011001192033290863
coord_only,0.010485594160854816
coord_only,0.010258302092552185
coord_only,0.01033833995461464
coord_only,0.010718822479248047
coord_only,0.011369628831744194
coord_only,0.01224774681031704
coord_only,0.013308262452483177
coord_only,0.012458119541406631
coord_only,0.011483918875455856
coord_only,0.01072007417678833
coord_only,0.010213878937065601
coord_only,0.01000451110303402
coord_only,0.010110416449606419
coord_only,0.010522078722715378
coord_only,0.011205856688320637
coord_only,0.012115770019590855
coord_only,0.013205159455537796
coord_only,0.012396307662129402
coord_only,0.011437919922173023
coord_only,0.010693336836993694
coord_only,0.01020943745970726
coord_only,0.010024036280810833
coord_only,0.010153490118682384
coord_only,0.010586253367364407
coord_only,0.011287498287856579
coord_only,0.012211065739393234
coord_only,0.01331076119095087
coord_only,0.012556509114801884
coord_only,0.011632082983851433
coord_only,0.01092284731566906
coord_only,0.010472607798874378
coord_only,0.010315325111150742
coord_only,0.010464212857186794
coord_only,0.010906738229095936
coord_only,0.011609378270804882
coord_only,0.012528449296951294
coord_only,0.01362021267414093
coord_only,0.012930472381412983
coord_only,0.0120548065751791
coord_only,0.011393127962946892
coord_only,0.01098417118191719
coord_only,0.010856527835130692
coord_only,0.01101997122168541
coord_only,0.011462058871984482
coord_only,0.012152424082159996
coord_only,0.013051731511950493
coord_only,0.01412011869251728
coord_only,0.01350044459104538
coord_only,0.012683258391916752
coord_only,0.012076083570718765
coord_only,0.011711625382304192
coord_only,0.011612756177783012
coord_only,0.011786156333982944
coord_only,0.012220244854688644
coord_only,0.0128887128084898
