rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.3434143364429474,0.13727104663848877,0.006933701224625111,0.0075780246406793594,0.9149735457006983,0.7755775577557755,0.0017284444766119123,0.00015465263277292252,1,4096,6.759075907590759,77.55775577557755
0.3434143364429474,0.13727104663848877,0.003368332050740719,0.004403467755764723,0.7649254152200805,1.0,0.0007702859584242105,0.00014992698561400175,5,20480,33.79537953795379,100.0
0.3434143364429474,0.13727104663848877,0.0025144985411316156,0.003028318751603365,0.8303254855670148,1.0,0.00014178658602759242,3.307080623926595e-05,10,40960,67.59075907590758,100.0
0.3434143364429474,0.13727104663848877,0.002158191055059433,0.0027594624552875757,0.7821027714641635,1.0,3.147076859022491e-05,8.67045127961319e-06,15,61440,101.38613861386139,100.0
0.3434143364429474,0.13727104663848877,0.0018267291598021984,0.002410790417343378,0.7577272455490917,1.0,5.5876453188830055e-06,1.0994446029144456e-06,20,81920,135.18151815181517,100.0
0.3434143364429474,0.13727104663848877,0.0016479329206049442,0.002133138244971633,0.7725355818516302,1.0,1.4500059251076891e-06,3.2860873488971265e-07,25,102400,168.97689768976898,100.0
0.3434143364429474,0.13727104663848877,0.0015518912114202976,0.002030565170571208,0.7642618869331221,1.0,5.153995630280406e-07,1.1379736974959087e-07,30,122880,202.77227722772278,100.0
0.3434143364429474,0.13727104663848877,0.0014068142045289278,0.001740417443215847,0.8083153423101105,1.0,1.080420162224982e-07,4.982258161589925e-08,35,143360,236.56765676567656,100.0
0.3434143364429474,0.13727104663848877,0.0012352641206234694,0.001612205058336258,0.7661906606294902,1.0,1.4207085996531532e-07,2.57299639372377e-08,40,163840,270.36303630363034,100.0
0.3434143364429474,0.13727104663848877,0.001240614103153348,0.0015309943119063973,0.8103269817761276,1.0,7.841648397288736e-08,1.7697166398988884e-08,45,184320,304.15841584158414,100.0
0.3434143364429474,0.13727104663848877,0.0011885387357324362,0.0014970202464610338,0.7939310101062629,1.0,2.3060614751102548e-08,8.347058155777631e-09,48,196608,324.43564356435644,100.0
