metric,value
coord_only_over_coord_plus_nuisance,1.0
coord_only_over_crtr_learned,1.0
coord_only_over_idm_learned,1.0
coord_only_over_crtr_online_joint,1.0
coord_only_over_idm_online_joint,1.0
coord_plus_nuisance_over_crtr_learned,1.0
coord_plus_nuisance_over_idm_learned,1.0
coord_plus_nuisance_over_crtr_online_joint,1.0
coord_plus_nuisance_over_idm_online_joint,1.0
crtr_learned_over_idm_learned,1.0
crtr_learned_over_crtr_online_joint,1.0
crtr_learned_over_idm_online_joint,1.0
idm_learned_over_crtr_online_joint,1.0
idm_learned_over_idm_online_joint,1.0
crtr_online_joint_over_idm_online_joint,1.0
