update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.5558335781097412,0.0,0.5558335781097412,28.087173461914062,-0.027678048238158226,1.3705499172210693,nan,1.0,0.0,1.0,nan,0.0
2,8192,0.5297962427139282,0.0,0.5297962427139282,22.6052188873291,-0.01603914238512516,1.3409860134124756,nan,1.0,0.0,1.0,nan,0.0
3,12288,0.5207081437110901,0.0,0.5207081437110901,18.715465545654297,0.006720531731843948,1.3035252094268799,nan,1.0,0.0,1.0,nan,0.0
4,16384,0.5102566480636597,0.0,0.5102566480636597,17.145450592041016,0.040971752256155014,1.3311123847961426,nan,1.0,0.0,1.0,nan,0.0
5,20480,0.5184792280197144,0.0,0.5184792280197144,17.8968448638916,0.002531111240386963,1.3690235614776611,nan,1.0,0.0,1.0,nan,0.0
6,24576,0.520102858543396,0.0,0.520102858543396,18.635671615600586,-0.011042660102248192,1.3691682815551758,nan,1.0,0.0,1.0,nan,0.0
7,28672,0.5216619968414307,0.0,0.5216619968414307,19.859481811523438,-0.019151031970977783,1.3579751253128052,nan,1.0,0.0,1.0,nan,0.0
8,32768,0.5222171545028687,0.0,0.5222171545028687,20.401487350463867,-0.01976221799850464,1.3702750205993652,nan,1.0,0.0,1.0,nan,0.0
9,36864,0.5250347256660461,0.0,0.5250347256660461,21.348285675048828,0.03237218037247658,1.349593162536621,nan,1.0,0.0,1.0,nan,0.0
10,40960,0.5154819488525391,0.0,0.5154819488525391,21.384090423583984,-0.012304808013141155,1.32709538936615,nan,1.0,0.0,1.0,nan,0.0
11,45056,0.5113580226898193,0.0,0.5113580226898193,24.537334442138672,-0.019398963078856468,1.3095759153366089,nan,1.0,0.0,1.0,nan,0.0
12,49152,0.5065445899963379,0.0,0.5065445899963379,26.43206024169922,-0.01049160584807396,1.3193267583847046,nan,1.0,0.0,1.0,nan,0.0
13,53248,0.5089529156684875,0.0,0.5089529156684875,26.453262329101562,0.030149836093187332,1.2980897426605225,nan,1.0,0.0,1.0,nan,0.0
14,57344,0.5071450471878052,0.0,0.5071450471878052,31.42719268798828,-0.01151345856487751,1.3371468782424927,nan,1.0,0.0,1.0,nan,0.0
15,61440,0.5106752514839172,0.0,0.5106752514839172,29.193485260009766,-0.00044228602200746536,1.291426420211792,nan,1.0,0.0,1.0,nan,0.0
16,65536,0.5152794122695923,0.0,0.5152794122695923,30.57213592529297,-0.03261330723762512,1.3516511917114258,nan,1.0,0.0,1.0,nan,0.0
17,69632,0.5214755535125732,0.0,0.5214755535125732,31.575422286987305,-0.0292058065533638,1.3354164361953735,nan,1.0,0.0,1.0,nan,0.0
18,73728,0.5139777660369873,0.0,0.5139777660369873,30.856155395507812,-0.01183522678911686,1.2815020084381104,nan,1.0,0.0,1.0,nan,0.0
19,77824,0.5071333646774292,0.0,0.5071333646774292,30.6351318359375,-0.006466900929808617,1.269028663635254,nan,1.0,0.0,1.0,nan,0.0
20,81920,0.5025860071182251,0.0,0.5025860071182251,30.166053771972656,1.0088086128234863e-05,1.3107047080993652,nan,1.0,0.0,1.0,nan,0.0
21,86016,0.5124533176422119,0.0,0.5124533176422119,28.801504135131836,-0.049701619893312454,1.3454246520996094,nan,1.0,0.0,1.0,nan,0.0
22,90112,0.5160829424858093,0.0,0.5160829424858093,32.38395690917969,0.031304262578487396,1.328304409980774,nan,1.0,0.0,1.0,nan,0.0
23,94208,0.509432315826416,0.0,0.509432315826416,33.37723159790039,0.010561042465269566,1.3360373973846436,nan,1.0,0.0,1.0,nan,0.0
24,98304,0.5185022354125977,0.0,0.5185022354125977,34.664527893066406,0.025495871901512146,1.340456247329712,nan,1.0,0.0,1.0,nan,0.0
