rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0015131003456190228,0.00027653996949084103,1.0452909918967634e-05,7.264065516210394e-06,1.4370106917064638,1.0,9.890625207731318e-09,4.75788608511607e-09,1,4096,70.62068965517241,100.0,0.4375,0.05
0.0014781012432649732,0.00038914248580113053,6.641869549639523e-05,8.788619743427262e-05,0.7556492480355829,1.0,3.6231422306798322e-09,2.3783071068095296e-09,5,20480,353.1034482758621,100.0,0.1875,0.2262190625
0.0037019692827016115,0.0011582192964851856,0.00033325041295029223,0.0007169544114731252,0.4648074682892176,1.0,6.169581290293991e-09,5.5914588514838215e-09,10,40960,706.2068965517242,100.0,0.0625,0.401263060761621
0.012046107091009617,0.003100039204582572,0.0003998162574134767,0.000735352688934654,0.5436994063333628,1.0,9.344583773440718e-09,5.063573116359521e-09,15,61440,1059.3103448275863,100.0,0.1875,0.5367087698402464
0.047062452882528305,0.010274218395352364,0.0010203244164586067,0.003142890054732561,0.32464424534347125,1.0,7.36360874498132e-08,2.1057719123973584e-08,20,81920,1412.4137931034484,100.0,0.0625,0.6415140775914577
0.10713021457195282,0.11668719351291656,0.0007856461452320218,0.0013529809657484293,0.580673607674408,1.0,7.257078686961904e-05,0.00016263856377918273,25,102400,1765.5172413793102,100.0,0.21875,0.7226104268781659
0.07315941154956818,0.10410156846046448,0.00039519506390206516,0.0008169456268660724,0.4837411615831265,1.0,2.1347896108636633e-05,6.145208317320794e-05,30,122880,2118.6206896551726,100.0,0.09375,0.7853612360570624
0.03923041373491287,0.06743212044239044,0.00046791104250587523,0.0016294383676722646,0.28715917103547495,1.0,2.7155945645063184e-05,9.37035511014983e-05,35,143360,2471.7241379310344,100.0,0.03125,0.8339166160123925
0.06606081873178482,0.11341769993305206,0.0004985028645023704,0.0019153156317770481,0.2602705546418533,1.0,1.8932820239569992e-05,8.1344333011657e-05,40,163840,2824.8275862068967,100.0,0.0625,0.8714878434348967
0.04574422165751457,0.10319680720567703,0.0006309460150077939,0.003199653932824731,0.19719133892001633,1.0,6.304973067017272e-05,0.00026663648895919323,45,184320,3177.9310344827586,100.0,0.1875,0.9005597430129076
0.05184391140937805,0.11441098153591156,0.00026127888122573495,0.0010579631198197603,0.2469617387540501,1.0,0.00016422098269686103,0.0007769132498651743,48,196608,3389.793103448276,100.0,0.09375,0.9147424096656918
