rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.01773924194276333,0.013695399276912212,0.00013048698019701988,0.0069075399078428745,0.018890486777209406,0.8597359735973598,1.5871210052864626e-06,3.739180556294741e-06,1,4096,6.759075907590759,85.97359735973598
0.01773924194276333,0.013695399276912212,5.775516910944134e-05,0.00274234963580966,0.02106039206356302,0.9983498349834984,9.037709673975769e-07,2.4619291707494995e-06,5,20480,33.79537953795379,99.83498349834984
0.01773924194276333,0.013695399276912212,3.743419438251294e-05,0.0015981291653588414,0.02342361365889408,0.9983498349834984,3.126655769847275e-07,8.531504818165558e-07,10,40960,67.59075907590758,99.83498349834984
0.01773924194276333,0.013695399276912212,3.1681749533163384e-05,0.001298817922361195,0.024392568859751468,0.9983498349834984,4.062772518409474e-08,8.853570676592426e-08,15,61440,101.38613861386139,99.83498349834984
0.01773924194276333,0.013695399276912212,2.7427158784121275e-05,0.0010871397098526359,0.025228502142394953,0.9983498349834984,1.3151266742283951e-08,3.6080422205486684e-08,20,81920,135.18151815181517,99.83498349834984
0.01773924194276333,0.013695399276912212,2.5023347916430794e-05,0.0009471820085309446,0.026418453376988435,0.9983498349834984,2.5826407679119256e-09,6.063606505790631e-09,25,102400,168.97689768976898,99.83498349834984
0.01773924194276333,0.013695399276912212,2.3167580366134644e-05,0.000883210392203182,0.02623080328607836,1.0,1.3018419675603354e-09,2.997326165044001e-09,30,122880,202.77227722772278,100.0
0.01773924194276333,0.013695399276912212,2.131830478901975e-05,0.000820109446067363,0.025994146207903357,1.0,4.388108487685116e-10,1.0230249980480721e-09,35,143360,236.56765676567656,100.0
0.01773924194276333,0.013695399276912212,1.9917828467441723e-05,0.0007682379800826311,0.025926301121285605,1.0,2.557414280346393e-10,5.95203664133237e-10,40,163840,270.36303630363034,100.0
0.01773924194276333,0.013695399276912212,1.9062625142396428e-05,0.0007409363170154393,0.025727403868044618,1.0,1.614286065931836e-10,4.028290201407714e-10,45,184320,304.15841584158414,100.0
0.01773924194276333,0.013695399276912212,1.8614264263305813e-05,0.0007254268857650459,0.025659384887322355,1.0,1.1063401583744081e-10,3.1805116873506734e-10,48,196608,324.43564356435644,100.0
