metric,value
coord_only_vs_coord_plus_nuisance,1.0
coord_only_vs_crtr_learned,1.0
coord_only_vs_idm_learned,1.0
coord_only_vs_crtr_online_joint,1.0
coord_only_vs_idm_online_joint,8.502087922579449e-13
coord_plus_nuisance_vs_crtr_learned,1.0
coord_plus_nuisance_vs_idm_learned,1.0
coord_plus_nuisance_vs_crtr_online_joint,0.027667893922967757
coord_plus_nuisance_vs_idm_online_joint,0.0
crtr_learned_vs_idm_learned,1.0
crtr_learned_vs_crtr_online_joint,1.2039302887956183e-10
crtr_learned_vs_idm_online_joint,0.0
idm_learned_vs_crtr_online_joint,3.083862767394585e-05
idm_learned_vs_idm_online_joint,3.320010932839068e-12
crtr_online_joint_vs_idm_online_joint,1.0554675442531192e-05
