update,env_steps,mean_reward,mean_reward_ext,mean_reward_int,value_loss,policy_loss,entropy,rep_loss,alpha,p_succ_hat,int_sigma,success_rate,two_critic
1,4096,0.47853419184684753,0.00146484375,0.5021782517433167,21.06742286682129,-0.012833215296268463,1.3750547170639038,nan,0.95,0.05,1.0,0.15625,0.0
2,8192,0.4304083585739136,0.000244140625,0.47663626074790955,14.990965843200684,-0.019111542031168938,1.3517574071884155,nan,0.9025,0.0975,1.0,0.03125,0.0
3,12288,0.4052731692790985,0.00048828125,0.47212114930152893,11.207809448242188,0.01526736468076706,1.3247437477111816,nan,0.857375,0.142625,1.0,0.0625,0.0
4,16384,0.3792753219604492,0.0009765625,0.4644516110420227,9.543436050415039,-0.012244809418916702,1.3374614715576172,nan,0.81450625,0.18549375,1.0,0.125,0.0
5,20480,0.3604470491409302,0.000244140625,0.46551018953323364,8.013471603393555,0.02533448114991188,1.3507781028747559,nan,0.7737809375,0.2262190625,1.0,0.03125,0.0
6,24576,0.34251630306243896,0.00048828125,0.4652860760688782,8.001419067382812,0.002812447026371956,1.3666331768035889,nan,0.735091890625,0.264908109375,1.0,0.0625,0.0
7,28672,0.32437682151794434,0.00048828125,0.4637995660305023,7.568244934082031,-0.04105082154273987,1.3700392246246338,nan,0.6983372960937501,0.30166270390624994,1.0,0.0625,0.0
8,32768,0.33875590562820435,0.0,0.47483348846435547,9.888025283813477,-0.01342359371483326,1.378930687904358,nan,0.7134204312890626,0.2865795687109374,1.0,0.0,0.0
9,36864,0.3249801993370056,0.000244140625,0.4791387915611267,9.180695533752441,-0.02719387225806713,1.3780773878097534,nan,0.6777494097246095,0.32225059027539055,1.0,0.03125,0.0
10,40960,0.32867804169654846,0.0,0.47369372844696045,10.817886352539062,-0.04027050733566284,1.3632242679595947,nan,0.693861939238379,0.306138060761621,1.0,0.0,0.0
11,45056,0.30842044949531555,0.000244140625,0.4675225615501404,10.807855606079102,0.005006229504942894,1.3535265922546387,nan,0.6591688422764601,0.3408311577235399,1.0,0.03125,0.0
12,49152,0.3143216371536255,0.0,0.46482813358306885,11.265195846557617,-0.01453196257352829,1.361311674118042,nan,0.6762104001626371,0.3237895998373629,1.0,0.0,0.0
13,53248,0.30193012952804565,0.00048828125,0.46924328804016113,11.662088394165039,-0.006335731595754623,1.3796558380126953,nan,0.6423998801545052,0.3576001198454947,1.0,0.0625,0.0
14,57344,0.2872975468635559,0.00048828125,0.4699634909629822,11.27359676361084,0.04055386781692505,1.3594616651535034,nan,0.61027988614678,0.38972011385322,1.0,0.0625,0.0
15,61440,0.27002400159835815,0.00048828125,0.4649043679237366,10.890810012817383,0.022962050512433052,1.374274492263794,nan,0.579765891839441,0.42023410816055895,1.0,0.0625,0.0
16,65536,0.29342180490493774,0.0,0.4884033799171448,9.324254989624023,-0.04262325540184975,1.3668233156204224,nan,0.600777597247469,0.39922240275253096,1.0,0.0,0.0
