rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.0,0.0,0.0,0.004205768927931786,0.0,1.0,0.00421171123161912,0.00026914902264252305,1,4096,70.62068965517241,100.0,0.28125,0.0
0.0,0.0,0.0,0.00200476567260921,0.0,1.0,0.002731911139562726,0.0001154774654423818,5,20480,353.1034482758621,100.0,0.1875,0.0
0.0,0.0,0.0,0.001539987395517528,0.0,1.0,0.0003642041701823473,0.00015136341971810907,10,40960,706.2068965517242,100.0,0.03125,0.0
0.0,0.0,0.0,0.0013583737891167402,0.0,1.0,7.01676617609337e-05,5.781818617833778e-05,15,61440,1059.3103448275863,100.0,0.15625,0.0
0.0,0.0,0.0,0.0012211942812427878,0.0,1.0,1.919857822940685e-05,2.029525967373047e-05,20,81920,1412.4137931034484,100.0,0.125,0.0
0.0,0.0,0.0,0.0011046050349250436,0.0,1.0,6.840189143986208e-06,8.30641329230275e-06,25,102400,1765.5172413793102,100.0,0.125,0.0
0.0,0.0,0.0,0.0009752088226377964,0.0,1.0,2.462605607433943e-06,2.9150451155146584e-06,30,122880,2118.6206896551726,100.0,0.0,0.0
0.0,0.0,0.0,0.0008920007385313511,0.0,1.0,9.458834711040254e-07,1.085742042050697e-06,35,143360,2471.7241379310344,100.0,0.125,0.0
0.0,0.0,0.0,0.0008372238371521235,0.0,1.0,4.4860860271001e-07,4.858091529058584e-07,40,163840,2824.8275862068967,100.0,0.09375,0.0
0.0,0.0,0.0,0.0007862006314098835,0.0,1.0,2.0819013002437714e-07,2.2131709442874126e-07,45,184320,3177.9310344827586,100.0,0.15625,0.0
0.0,0.0,0.0,0.0007490470306947827,0.0,1.0,1.344146340898078e-07,1.2383434011553618e-07,48,196608,3389.793103448276,100.0,0.21875,0.0
