rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent
0.016504211351275444,0.016825087368488312,0.00010043168731499463,0.003658783156424761,0.027449402855320965,1.0,7.711442435720528e-07,1.2286168384889606e-06,1,4096,70.62068965517241,100.0
0.016504211351275444,0.016825087368488312,0.00010426328663015738,0.0021931917872279882,0.04753930406099883,1.0,8.738184078538325e-07,2.17132310353918e-06,5,20480,353.1034482758621,100.0
0.016504211351275444,0.016825087368488312,0.00011858878860948607,0.0019152786117047071,0.06191692880371478,1.0,2.306602056023621e-07,7.454689807673276e-07,10,40960,706.2068965517242,100.0
0.016504211351275444,0.016825087368488312,0.00010552128514973447,0.0020052918698638678,0.05262114733723253,1.0,2.037691473333325e-07,5.624086156785779e-07,15,61440,1059.3103448275863,100.0
0.016504211351275444,0.016825087368488312,9.701209637569264e-05,0.001338308327831328,0.07248805785458791,1.0,1.2161823548240136e-08,2.0338401185426846e-08,20,81920,1412.4137931034484,100.0
0.016504211351275444,0.016825087368488312,9.149087418336421e-05,0.0014626282500103116,0.06255194965858386,1.0,6.9964980475845095e-09,1.2387576298067415e-08,25,102400,1765.5172413793102,100.0
0.016504211351275444,0.016825087368488312,9.990741818910465e-05,0.001233561197295785,0.08099039472396899,1.0,7.53318118995594e-09,1.5258029506526327e-08,30,122880,2118.6206896551726,100.0
0.016504211351275444,0.016825087368488312,9.930335363605991e-05,0.0007784226327203214,0.12756833342023835,1.0,4.857430013771591e-09,7.892470677006713e-09,35,143360,2471.7241379310344,100.0
0.016504211351275444,0.016825087368488312,9.305147250415757e-05,0.0010475871386006474,0.08882371770168566,1.0,2.2619668360590595e-09,2.605433868652085e-09,40,163840,2824.8275862068967,100.0
0.016504211351275444,0.016825087368488312,0.00010504351666895673,0.0028331659268587828,0.037076242132771914,1.0,2.2012882627819863e-09,2.9885309782429204e-09,45,184320,3177.9310344827586,100.0
0.016504211351275444,0.016825087368488312,0.00010599093366181478,0.001766749075613916,0.0599917301259567,1.0,1.3172603008371198e-09,1.7528141160738642e-09,48,196608,3389.793103448276,100.0
