comb,flags,env,policy,best_rep,best_success,second_success,gap,mean_success_reps,series_n,series_mean,series_std,series_tail_mean,series_tail_std,series_max_dd
0,-,periodicity,raw,crtr_learned,0.17329545454545456,0.15056818181818182,0.022727272727272735,0.13920454545454544,11,0.17329545454545456,0.11795761075015167,0.109375,0.015625,0.40625
1,A,periodicity,raw,idm_online_joint,0.14772727272727273,0.14488636363636365,0.0028409090909090884,0.1377840909090909,11,0.14772727272727273,0.08747047908148098,0.203125,0.140625,0.28125
2,C,periodicity,raw,crtr_learned,0.17329545454545456,0.15056818181818182,0.022727272727272735,0.14441287878787878,11,0.17329545454545456,0.11795761075015167,0.109375,0.015625,0.40625
3,AC,periodicity,raw,crtr_online_joint,0.15625,0.13920454545454544,0.017045454545454558,0.1377840909090909,11,0.15625,0.07419070941591248,0.140625,0.015625,0.21875
4,B,periodicity,raw,crtr_learned,0.17329545454545456,0.15056818181818182,0.022727272727272735,0.13920454545454544,11,0.17329545454545456,0.11795761075015167,0.109375,0.015625,0.40625
5,AB,periodicity,raw,idm_online_joint,0.14772727272727273,0.14488636363636365,0.0028409090909090884,0.1377840909090909,11,0.14772727272727273,0.08747047908148098,0.203125,0.140625,0.28125
6,CB,periodicity,raw,crtr_learned,0.17329545454545456,0.15056818181818182,0.022727272727272735,0.14441287878787878,11,0.17329545454545456,0.11795761075015167,0.109375,0.015625,0.40625
7,ACB,periodicity,raw,crtr_online_joint,0.15625,0.13920454545454544,0.017045454545454558,0.1377840909090909,11,0.15625,0.07419070941591248,0.140625,0.015625,0.21875
8,D,periodicity,raw,idm_online_joint,0.15625,0.14204545454545456,0.014204545454545442,0.13541666666666666,11,0.15625,0.0625,0.125,0.03125,0.21875
9,AD,periodicity,raw,idm_learned,0.16193181818181818,0.1590909090909091,0.0028409090909090884,0.14157196969696972,11,0.16193181818181818,0.056247130321657186,0.203125,0.015625,0.1875
10,CD,periodicity,raw,coord_only,0.13636363636363635,0.13068181818181818,0.005681818181818177,0.12736742424242423,11,0.13636363636363635,0.07569836701405812,0.1875,0.03125,0.28125
11,ACD,periodicity,raw,idm_online_joint,0.17897727272727273,0.16193181818181818,0.017045454545454558,0.14678030303030304,11,0.17897727272727273,0.06119505462652845,0.09375,0.03125,0.21875
12,BD,periodicity,raw,idm_online_joint,0.15625,0.14204545454545456,0.014204545454545442,0.13541666666666666,11,0.15625,0.0625,0.125,0.03125,0.21875
13,ABD,periodicity,raw,idm_learned,0.16193181818181818,0.1590909090909091,0.0028409090909090884,0.14157196969696972,11,0.16193181818181818,0.056247130321657186,0.203125,0.015625,0.1875
14,CBD,periodicity,raw,coord_only,0.13636363636363635,0.13068181818181818,0.005681818181818177,0.12736742424242423,11,0.13636363636363635,0.07569836701405812,0.1875,0.03125,0.28125
15,ACBD,periodicity,raw,idm_online_joint,0.17897727272727273,0.16193181818181818,0.017045454545454558,0.14678030303030304,11,0.17897727272727273,0.06119505462652845,0.09375,0.03125,0.21875
0,-,periodicity,rep,coord_plus_nuisance,0.19602272727272727,0.15056818181818182,0.04545454545454544,0.1377840909090909,11,0.19602272727272727,0.09046410981869692,0.234375,0.078125,0.25
1,A,periodicity,rep,idm_online_joint,0.19318181818181818,0.1534090909090909,0.039772727272727265,0.1415719696969697,11,0.19318181818181818,0.133794452719507,0.25,0.0625,0.53125
2,C,periodicity,rep,coord_plus_nuisance,0.19602272727272727,0.14772727272727273,0.04829545454545453,0.13257575757575757,11,0.19602272727272727,0.09046410981869692,0.234375,0.078125,0.25
3,AC,periodicity,rep,idm_online_joint,0.19602272727272727,0.1534090909090909,0.042613636363636354,0.14204545454545456,11,0.19602272727272727,0.11392010031683762,0.203125,0.109375,0.3125
4,B,periodicity,rep,coord_plus_nuisance,0.19602272727272727,0.15056818181818182,0.04545454545454544,0.1377840909090909,11,0.19602272727272727,0.09046410981869692,0.234375,0.078125,0.25
5,AB,periodicity,rep,idm_online_joint,0.19318181818181818,0.1534090909090909,0.039772727272727265,0.1415719696969697,11,0.19318181818181818,0.133794452719507,0.25,0.0625,0.53125
6,CB,periodicity,rep,coord_plus_nuisance,0.19602272727272727,0.14772727272727273,0.04829545454545453,0.13257575757575757,11,0.19602272727272727,0.09046410981869692,0.234375,0.078125,0.25
7,ACB,periodicity,rep,idm_online_joint,0.19602272727272727,0.1534090909090909,0.042613636363636354,0.14204545454545456,11,0.19602272727272727,0.11392010031683762,0.203125,0.109375,0.3125
8,D,periodicity,rep,coord_only,0.14204545454545456,0.14204545454545456,0.0,0.1278409090909091,11,0.14204545454545456,0.07696714309172764,0.09375,0.03125,0.25
9,AD,periodicity,rep,coord_only,0.17045454545454544,0.15056818181818182,0.01988636363636362,0.13589015151515152,11,0.17045454545454544,0.10522874532643259,0.0625,0.0,0.3125
10,CD,periodicity,rep,crtr_online_joint,0.17329545454545456,0.16477272727272727,0.008522727272727293,0.14015151515151517,11,0.17329545454545456,0.07696714309172766,0.15625,0.03125,0.3125
11,ACD,periodicity,rep,idm_online_joint,0.19602272727272727,0.17329545454545456,0.022727272727272707,0.14867424242424243,11,0.19602272727272727,0.12925355870542415,0.359375,0.078125,0.34375
12,BD,periodicity,rep,coord_only,0.14204545454545456,0.14204545454545456,0.0,0.1278409090909091,11,0.14204545454545456,0.07696714309172764,0.09375,0.03125,0.25
13,ABD,periodicity,rep,coord_only,0.17045454545454544,0.15056818181818182,0.01988636363636362,0.13589015151515152,11,0.17045454545454544,0.10522874532643259,0.0625,0.0,0.3125
14,CBD,periodicity,rep,crtr_online_joint,0.17329545454545456,0.16477272727272727,0.008522727272727293,0.14015151515151517,11,0.17329545454545456,0.07696714309172766,0.15625,0.03125,0.3125
15,ACBD,periodicity,rep,idm_online_joint,0.19602272727272727,0.17329545454545456,0.022727272727272707,0.14867424242424243,11,0.19602272727272727,0.12925355870542415,0.359375,0.078125,0.34375
0,-,periodicity_large,raw,idm_online_joint,0.03977272727272727,0.028409090909090908,0.011363636363636364,0.023200757575757572,11,0.03977272727272727,0.03790245472763164,0.046875,0.015625,0.125
1,A,periodicity_large,raw,coord_plus_nuisance,0.03977272727272727,0.03977272727272727,0.0,0.02793560606060606,11,0.03977272727272727,0.035482943172718176,0.015625,0.015625,0.09375
2,C,periodicity_large,raw,crtr_online_joint,0.05397727272727273,0.05397727272727273,0.0,0.034090909090909095,11,0.05397727272727273,0.03548294317271817,0.03125,0.0,0.125
3,AC,periodicity_large,raw,coord_plus_nuisance,0.03977272727272727,0.03125,0.008522727272727272,0.028409090909090908,11,0.03977272727272727,0.035482943172718176,0.015625,0.015625,0.09375
4,B,periodicity_large,raw,idm_online_joint,0.03977272727272727,0.028409090909090908,0.011363636363636364,0.023200757575757572,11,0.03977272727272727,0.03790245472763164,0.046875,0.015625,0.125
5,AB,periodicity_large,raw,coord_plus_nuisance,0.03977272727272727,0.03977272727272727,0.0,0.02793560606060606,11,0.03977272727272727,0.035482943172718176,0.015625,0.015625,0.09375
6,CB,periodicity_large,raw,crtr_online_joint,0.05397727272727273,0.05397727272727273,0.0,0.034090909090909095,11,0.05397727272727273,0.03548294317271817,0.03125,0.0,0.125
7,ACB,periodicity_large,raw,coord_plus_nuisance,0.03977272727272727,0.03125,0.008522727272727272,0.028409090909090908,11,0.03977272727272727,0.035482943172718176,0.015625,0.015625,0.09375
8,D,periodicity_large,raw,idm_learned,0.028409090909090908,0.028409090909090908,0.0,0.02178030303030303,11,0.028409090909090908,0.028123565160828593,0.03125,0.0,0.09375
