rep_invariance_mean,rep_invariance_std,bonus_within_std_mean,bonus_between_std,bonus_within_over_between,coverage_fraction,action_kl_mean,action_kl_std,update,env_steps,steps_per_state,coverage_percent,success_rate,p_succ_hat
0.1356096863746643,0.21390090882778168,0.0011362003860995173,0.0054249875247478485,0.20943795474862037,1.0,0.0012878478737547994,0.0014571051578968763,1,4096,40.96,100.0,0.34375,0.05
0.1356096863746643,0.21390090882778168,0.0007804770139046013,0.004035239107906818,0.19341482843656552,1.0,0.0006222635856829584,0.0007049880805425346,5,20480,204.8,100.0,0.09375,0.2262190625
0.1356096863746643,0.21390090882778168,0.0007091723964549601,0.0034891273826360703,0.20325149705603593,1.0,0.00013228264288045466,0.00015047138731461018,10,40960,409.6,100.0,0.0625,0.401263060761621
0.1356096863746643,0.21390090882778168,0.0006880023865960538,0.0035145829897373915,0.19575592070120787,1.0,2.3707785658189096e-05,2.853252772183623e-05,15,61440,614.4,100.0,0.1875,0.5367087698402464
0.1356096863746643,0.21390090882778168,0.0007643888820894063,0.0038395740557461977,0.19908116894730993,1.0,7.259752237587236e-06,8.3202385212644e-06,20,81920,819.2,100.0,0.0625,0.6415140775914577
0.1356096863746643,0.21390090882778168,0.0005041558179073036,0.0024310497101396322,0.20738109220622414,1.0,6.784888682886958e-05,0.00014327206008601934,25,102400,1024.0,100.0,0.1875,0.7226104268781659
0.1356096863746643,0.21390090882778168,0.0006602320936508477,0.0037671588361263275,0.1752594912442909,1.0,9.654882887843996e-05,0.00016554811736568809,30,122880,1228.8,100.0,0.21875,0.7853612360570624
0.1356096863746643,0.21390090882778168,0.0005962222930975258,0.002980587538331747,0.20003448484065847,1.0,8.502606942784041e-05,0.00010675092926248908,35,143360,1433.6,100.0,0.125,0.8339166160123925
0.1356096863746643,0.21390090882778168,0.00039778303471393883,0.0017318326281383634,0.2296877489044914,1.0,0.0003084554336965084,0.0004062482912559062,40,163840,1638.4,100.0,0.0625,0.8714878434348967
0.1356096863746643,0.21390090882778168,0.0005167569615878165,0.0023472835309803486,0.22015012386286117,1.0,0.0002722078061196953,0.0003079152957070619,45,184320,1843.2,100.0,0.5,0.9005597430129076
0.1356096863746643,0.21390090882778168,0.0004478386545088142,0.0020548133179545403,0.2179450907509713,1.0,0.00040101201739162207,0.00048308219993487,48,196608,1966.08,100.0,0.125,0.9147424096656918
